2. What Is Your Location Called?,"3. What Kind Of Location Do You Want ? You Can Combine By Clicking 3 Elements, (Or More For Higher Pledges)",4. Describe Your Location,5. What Terrain Do You Want Your Location To Appear In,"5.B. If Other, Add Details",7. Which Biomes Would Suit Your Location,"9. Style Of Your Location (If Applicable, Choose Up To 2)","9.B. Using The Key Ideas Of The Styles Given, You Can Add Some Flourish?","9.C. If Other, Add Details",10. What Text Do You Want To Appear In The Document For This Location? (2 Paragraph Maximum),11. Which Map Do You Want This To Appear On?,12. Will Your Location Be Hidden On The Player Maps?,Anything To Add?
Ingara,Lake/waterfall (if possible),A village guarded by illusion magic to be hidden from outside eyes.,Lake / Sea,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone),No response,No response,Ingara,"The Original Map, Sepia and Coloured | The Re-Skinned Map","No, My location is hidden from players, only for GMs",No response
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Rykh,Village size+1 | Village size+1 | surround with trees,"While Rykh not particularly large by civilised standards, it is so far away from any other kind of settlement that it is considered huge by everyone in the vicinity. It is a final outpost of quasi-civilisation in the middle of deep, forested wilderness. Most of the inhabitants are ogres, though there is also a large minority of humans.",Forest - Boreal or Temperate,No response,"Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone) | Native (tents),"Most buildings are made from wood, though a few of the most important buildings are stone.",No response,"While Rykh not particularly large by civilised standards, it is so far away from any other kind of settlement that it is considered huge by everyone in the vicinity. It is a final outpost of quasi-civilisation in the middle of deep, forested wilderness. Most of the inhabitants are ogres, though there is also a large minority of humans. The town's name is commonly used idiomatically to mean ""as far away as you can possibly go"".","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it",No response
Paix du Lac,Village size+1 | Village size+1 | Lake/waterfall (if possible) | Animals,Peaceful lakeside fishing village of around 2000 folk during the winters but jumping to 3000 - 3500 during the tourist season in the summers.,Plains / Grassland | Lake / Sea,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone),Feels like the French Riviera in style.,No response,"Paix du Lac is a peaceful little fishing village that sits quietly on the shores of a major lake where a river feeds into the lake. The villagers are mostly very laid back and amiable to strangers. Known for its summer festivals and a hot spot for vacationing nobles, Paix du Lac has a frequent influx of vistors and a busy trading district. The wealthy of the town sit on their outdoor balcony overlooking the lake, taking in the amazing sunsets and fantastic scenery. While it is rumored that the town harbors smuggling operations, crime is not uncommonly prolific within the town.","The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",Question 12 is contradictory... but this town is public knowledge.
,,,,,,,,,,,,
Shrine of the Forgotten Goddess,Monolith/statue/totem | surround with trees | Ruins,"A small shrine with a weathered Statue of a long forgotten deity, reclaimed by the surrounding forest.",Forest - Boreal or Temperate | Forest - Jungle or Rainforest,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers)",Abandoned/Ruins,"The style seems otherworldly and out of place for the surrounding area, its extremely weathered and worn, overgrown with mosses and vines.",N/A,"Nestled deep in the forest lies a crumbling and long neglected shrine to a long forgotten Goddess. A lone statue weathered and worn, covered in fine green moss stands in the centre of a very small clearing of sorts. The statue is that of a lady wearing flowing robes looking up to the stars. It is surrounded by cracked and barely visible flagstones, the forest long having claimed the area back. Dotted around the clearing are rectangular stones with some now faint carvings that may have served as benches for the worshipers. Who was this mystery Goddess? (The more perceptive might be able to work out that she had something to do with the stars, given the layout of the stones).","The Original Map, Sepia and Coloured | The Re-Skinned Map","Yes, My place is public Knowledge, anyone can find it",Good luck! Can't wait to see how it ends up :)
The Isle of Bees,Animals,island or peninsula swarming with bees of all sizes and hives,Coastal | Lake / Sea | Hills/Cliffs,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",No response,No response,No response,"The Isle of Bees is home to countless varieties of bees, including many that exist no where else in the world. Located at a massive swell of nature magic, the Wizards are unsure if the nature magic drew the bees or the bees are the source of the nature magic. While a visit is not for the fearful, some visitors claim to have been healed of aliments by the lakes of honey, though many have also been run through by the branch sized stinger of an unhappy bee. It is rumored that there is a small stone temple to the first human caretakers of the bees, and it is marked in rough scratches ""B's and D's Bees."" Those allergic to bees and honey should avoid.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Crystal cave,Hole in the ground,A small cave opening with crystals or amethyst inside. Small enough for a human to enter,Plains / Grassland | Taiga / Steppe | Mountains,No response,"Cooler Temperate Zone (minus winters, 20.c summers",Abandoned/Ruins,Multiple colored crystals,No response,Small Crystal Cave,"The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
,,,,,,,,,,,,
The Seven-Four-Seven,Village size+1 | Sign / road marker | Monolith/statue/totem,A small village and trading post build around a giant honeycombed structure of unknown origin (think La Sagrada Familia's towers),Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate | Forest - Jungle or Rainforest | Desert | Hills/Cliffs | Mountains,No response,Any of the Above,Asian (White Stone) | Abandoned/Ruins,"The town grew organically around the towering structure. The inner ring shows the most care. Perhaps the first people to settle there worshiped it. As the town built out, the structures become less notable until the outer ring looks like any other village. People take pilgrimages climbing the tower. Many fall to their deaths, and the ground around the tower is littered with the bones of the fallen. It is considered an honorable way to die, but gives the inner ring the appearance of a terrifying sacrificial site. The tower itself is incredibly white and far too smooth to be natural.",No response,"The Seven-Four-Seven is a trading post and holy site, located at the intersection of three roads. The name comes from the central signpost, indicating that the nearest townships are seven, four, and seven miles away, respectively. No one knows when the great tower at the center of the Seven-Four-Seven was built, or who built it. Some say the gleaming white, honeycomb structure merely appeared one day, or is the last remains of some ancient God. But legends tell that any who manages to scale the unnaturally smooth tower will live out the rest of their days blessed with peace and prosperity. Few have succeeded. Most fall to their doom below, where their bodies are left to rot and feed the earth beneath the tower. To those who live in the Seven-Four-Seven, this is an honorable death. These bones remain undisturbed, bleached white like the tower over centuries. The Seven-Four-Seven can be a terrible sight to behold for newcomers, but the townsfolk are among the most welcoming and agreeable in the region. So long as visitors don't disturb the bones.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it","This is an awesome project, and I'm incredibly excited for it to come out :) Please feel free to take my idea and change it, run with it, whatever. I'm not precious about this at all. Best, Joe."
Dada Land,Village size+1 | Hole in the ground | Temple,"A city know for its two main exports, Bananas and champagne.",Plains / Grassland,No response,"Mid Range (o.c winters, 30.c summers)",No response,No response,No response,"A city know for its two main exports, Bananas and champagne. Although a strange combination everyone in town always seems to be smiling. Perhaps its the potassium or perhaps it's all the bubbly getting to their heads.","The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",Thank you for this campaign!
S+C,surround with trees,"A couple on a picnic, with a tree that has a heart carved in it with S+C inside the heart. If that's not too cheesy for you. ;-)",Forest - Boreal or Temperate,No response,"Mid Range (o.c winters, 30.c summers)",European (Grey stone),No response,No response,Don't really need text..the heart explains it all.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it","Love this whole idea...if no one buys the KDM map, let me know...I might be able to later."
,,,,,,,,,,,,
Yenri's farm,Animals | Farms | Fields,A simple farm with fields and grazing sheep,Plains / Grassland,No response,"Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone),No response,No response,Yenri's farm,"The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Castle Istengal,Abandonded... <insert here>,The ruins of a once great castle,Swamp / Mangroves | Coastal,No response,"Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers) | Tropical (20.c winters, 45.c summers)",European (Grey stone) | Abandoned/Ruins,No response,No response,Once a majestic castle that brought peace and prosperity to the surrounding land. One night thunderous battle sounds were heard within the castle. Villagers went up to check but none returned. Since that night not a single living being has come from within castle.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Wizard's Hiuse,surround with trees,If possible I would like a wizard's house (2 floors) surrounded by a clearing (herb garden). In the middle of a Forrest. The herb garden is 26 plots that circle the house and have herbs in alphabetical order.,Forest - Boreal or Temperate,I'm not sure if I'm asking for too much RE:my pledge level but please do what you can :),"Mid Range (o.c winters, 30.c summers)",European (Grey stone),No response,No response,The wizard is famed for his short temper and exceptional potion. His herb garden that surrounds the house is laid out in alphabetical order and various charms are in place to keep plants growing that would usually not be found in such a place.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it","Please contact me if there are any problems. I just want a map, being able to have input it's just a bonus."
Mysterious Obelisk,Monolith/statue/totem | surround with trees | Ruins,"A small monolithic obelisk of tan/gold color with a 5 by 5 yard footprint, 8 yards high. The stone cannot be identified by any means and is completely indestructible. If the conditions are right when the trigger is found, one of the walls disappears to reveal a cubic chamber 3 yards to a side, with a 1 yard cubic platform in the center. The walls and the platform are made of a golden colored glassy substance, shot through with black lines, runes, glyphs, and sigils that are unidentifiable. The walls radiate a warm golden light. The top of the platform is etched with a complex grid, the lines of which glow with a peculiar unlight. On the grid are a few dozen blood-red rubies carved into lifelike rose blossoms. If taken from the chamber, these return to it. No one knows what it all means or does.",Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate | Forest - Jungle or Rainforest | Swamp / Mangroves | Desert | Coastal | Lake / Sea | Hills/Cliffs | Mountains,"any, really. it moves. where ever is easiest for you!",Any of the Above,Abandoned/Ruins,"in a desolate, isolated place. Not frequented by travelers or explorers. believed to be haunted, otherwordly, divine, eldritch, unknowable like Cthulhu mythos weirdness",No response,"is this too much? A small monolithic obelisk of tan/gold color with a 5 by 5 yard footprint, 8 yards high. The stone cannot be identified by any means and is completely indestructible. If the conditions are right when the trigger is found, one of the walls disappears to reveal a cubic chamber 3 yards to a side, with a 1 yard cubic platform in the center. The walls and the platform are made of a golden colored glassy substance, shot through with black lines, runes, glyphs, and sigils that are unidentifiable. The walls radiate a warm golden light. The top of the platform is etched with a complex grid, the lines of which glow with a peculiar unlight. On the grid are a few dozen blood-red rubies carved into lifelike rose blossoms. If taken from the chamber, these return to it. No one knows what it all means or does.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs","I have this thing in all my games, moving the stone roses alters reality in fundamental ways. I call it a Reality Terminal and it can destroy or harshly weird-ify your game worse than a Deck of Many Things. This all is probably too much to get into for your map project. :-) BTW: This is an extremely cool KS you've done! Cheers!"
,,,,,,,,,,,,
Sorrow,Monolith/statue/totem | Lake/waterfall (if possible) | Ruins,"A tiny island in a lake (no more than a large rock, really) houses a crumbling, ruined chapel built around a curiously intact life-sized statue of a kneeling woman in heavy armour (like a paladin). If an island is not possible, a promontory at the edge of a coastal cliff works too.",Coastal | Lake / Sea | Hills/Cliffs,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone) | Abandoned/Ruins,No response,No response,"Although this hero's name and deeds are lost to history, local legend says the statue weeps... but only when it rains.","The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Mae-Mae's Reach,Village size+1 | tower/guard post | surround with trees,"This small town is almost lost in the expansive forest that it resides in. This forest is wild and untamed, dangerous for those who are not trained in the arts of survival.",Forest - Boreal or Temperate,No response,"Mid Range (o.c winters, 30.c summers)",European (Grey stone),some Elven aspects,No response,"The town was originally a simple band of druids, rangers, and a few nature lovers that wanted to live in a place far removed from society and named after their leader. Mae-Mae chose a defensible location as she sensed the pending onslaught from the dark denizens of the forest. When the attack came in the dead of night, Mae-Mae was already awake and alert. The druid led her followers to battle, moving from skirmish to skirmish, wherever the fighting was most fierce and the situation most dire. Though she would surrender her life in the attempt, the battle would be won. Her final wish was for her town to remain, to defend the forest against further attack and to train those in the future. The town has slowly expanded since then. The area immediately surrounding is is kept safe, and the town welcomes those willing to listen to nature's lessons. Rangers and druids accept students, while herbalists can learn new tricks of healing. The druid's grove of the town is renowned despite the towns small size.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
large sinkhole,Monolith/statue/totem | Hole in the ground,"a large sinkhole, 50m or so across (unless that's too big) and 7m deep, within which an eternal fog hangs. a small trickle of water falls from one or more places in the walls, the groundwater seeping through. remains of trees, dead and choked by the fog, rot on the ground, while small tangled vines struggle to survive and lichen thrive. the walls are steep but surprisingly sturdy, a product of the dense root systems of the trees above.",Forest - Boreal or Temperate | Forest - Jungle or Rainforest,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",Abandoned/Ruins,"there remains what little stone survived the collapse, fallen stone bricks in small piles, a statue of a forgotten deity lying on its side sunken into the mud. the rest of the ruins, what had remained above, lost to time, natural weathering, or theft.",No response,a large sinkhole,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",feel free to contact me if problems with my submission. or if you just want to.
Sekhi's Warning,Monolith/statue/totem | Hole in the ground | Ruins,Ruined desert city that got hit by a meteor.,Desert,However you think it would look best.,"Warmer climates (10.c winters, 40.c summers)",Arabian (Yellow Stone) | Abandoned/Ruins,"I imagine it as maybe a single standing obelisk with ruins around it, and an impact site from the meteor.","The molten desert sand turned to glass at the impact, but I don't think you need to show that on the location.","I could come up with some cool flavor, but I dunno how it'd fit in with the rest of the world's lore/culture... ""A once prospering oasis, brought to ruin by a king's arrogance. What remains of the city ruins is twisted in molten glass, with a single solitary obelisk looming over it.""","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",Cool project! Have a good one!
Clay,Village size+1,A small village with a history of making pottery due to the surrounding soil.,Hills/Cliffs,No response,No response,European (Grey stone),No response,No response,The soil surrounding Clay allws the town's potters to create a unique pottery with a green colouring.,"The Original Map, Sepia and Coloured","Yes, My place is public Knowledge, anyone can find it",No response
Lone Oak Tarn,Lake/waterfall (if possible) | surround with trees,"In some hills or uplands, off the beaten track and far from any forests, a lone aged and bare branched oak tree stands by a small cold lake. At the foot of the oak stand the ruins of an old stone circle, the few remaining standing stones bear the worn remains of only partially legible ancient runes.",Hills/Cliffs | Mountains,No response,"Arctic or Arctic Fringes ( minus winters, 0-5.c summers | Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone) | Abandoned/Ruins | Other (Only choose if you have increased pledge),"Old, mysterious, isolated, unsettling - unnerving and odd.","Melancholy and sad. Not an evil or dark place, but one of old and hidden power, mystery, and menace.","Something like this? If you can tell me the map context I can expand upon...In some hills or uplands, off the beaten track and far from any forests, a lone aged and bare branched oak tree stands by a small cold lake. At the foot of the oak stand the ruins of an old stone circle, the few remaining standing stones bear the worn remains of only partially legible ancient runes.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it",ASk me if you need more or this doesn't make sense.
Salnek's University,Monolith/statue/totem | Abandonded... <insert here>,An abandoned school campus. A large statue of an orc reading a book in the middle of the ruins.,Coastal,No response,"Warmer climates (10.c winters, 40.c summers)",European (Grey stone),No response,N/A,"Salnek's school for intelligent monsters was a complete disaster. Not only did Salnek find much opposition among the local population, he also lacked the funds to continually rebuild his campus every time a minotaur or bugbear went on a rampage. Rumor has it that many monstrosities still roam the abandoned school grounds.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Ruins of Kell'os,surround with trees | Temple | Ruins,"Once a towering and beautiful temple dedicated to god Kell'os. Now it's arches and towers stand alone, forgotten by most. Wilderness has taken over the most parts of the temple.",Forest - Boreal or Temperate,No response,"Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone) | Abandoned/Ruins,Temple is intact by most parts. Almost looking like it had been abandoned recently. Outer side of the temple is overrun by wilderness and glass windows are broken.,No response,"Once a towering and beautiful temple dedicated to god Kell'os. Now it's arches and towers stand alone, forgotten by most.","The Original Map, Sepia and Coloured | The Re-Skinned Map","Yes, My place is public Knowledge, anyone can find it",No response
Libreheim,Village size+1 | Monolith/statue/totem | Ruins,"A small town, built around an old, bonewhite obelisk and the shell of a much older, dead city. New life to a ruin with alot of deep dungeons. The ruined city might have been part of a old, mighty empire.",Plains / Grassland,No response,"Warmer climates (10.c winters, 40.c summers)",European (Grey stone) | Abandoned/Ruins,"The new town is more wooden, but takes the stones from the ruined city.",The wall might be still there?,"What once was a Great city, now lies in ruin. But, a new wave of Settlers is making the dead city full of life again.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it","If possible, it could be part of another place, but I really really like a small village/town inside a ruined city, full of possibility. Love from Sweden."
Farmlands,Animals | Farms | Fields | Other (Only choose if you have increased pledge),"Just extra farmlands, for that genuine rural feeling. Pretty please close to either some woods or forest. Oh, and some spookyness for 2 extra: A banshee that roams the framland (or neighbouring lands, maybe a patch of woods or forest) and a pumpkin head scarecrow on a field that seeeeemss to be alive",Plains / Grassland | Taiga / Steppe,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone),No response,No response,Haunted farmland.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",I love you.
Abandoned Towee,tower/guard post | surround with trees | Ruins,Rose covered slightly ruined tower,Plains / Grassland | Forest - Boreal or Temperate | Mountains,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers)",European (Grey stone) | Abandoned/Ruins,No response,No response,Abandoned Tower,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",Thanks!
DA SPOOKY HOLE aka The Hole,Hole in the ground | Ruins | Abandonded... <insert here>,"It is an abandoned town. In the exact centre of the village is a giant hole (possibly up to 500m diamater, whatever works best).",Forest - Boreal or Temperate | Desert | Mountains,No response,Any of the Above,European (Grey stone) | Abandoned/Ruins,No response,No response,"The town surrounding this hole has been abandoned for an unknown length of time. No one has any concrete idea of who the inhabitants were or what happened to them. The hole in the town is known of by many, but there is not much information about it. There is no easy way to get down as the walls of the hole have no natural way to climb down. Some have ventured down perhaps using magic, but none of them have ever returned. It is a complete mystery.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
